"id","fixed_acidity","volatile_acidity","citric_acid","residual_sugar","chlorides","free_sulfur_dioxide","total_sulfur_dioxide","density","pH","sulphates","alcohol","taste"
56,6.9,0.25,0.35,1.3,0.039,29,191,0.9908,3.13,0.52,11,"average"
57,7.2,0.21,0.34,11.9,0.043,37,213,0.9962,3.09,0.5,9.6,"average"
58,6,0.19,0.26,12.4,0.048,50,147,0.9972,3.3,0.36,8.9,"average"
59,6.6,0.38,0.15,4.6,0.044,25,78,0.9931,3.11,0.38,10.2,"average"
60,7.4,0.2,0.36,1.2,0.038,44,111,0.9926,3.36,0.34,9.9,"average"
61,6.8,0.22,0.24,4.9,0.092,30,123,0.9951,3.03,0.46,8.6,"average"
62,6,0.19,0.26,12.4,0.048,50,147,0.9972,3.3,0.36,8.9,"average"
63,7,0.47,0.07,1.1,0.035,17,151,0.991,3.02,0.34,10.5,"bad"
64,6.6,0.38,0.15,4.6,0.044,25,78,0.9931,3.11,0.38,10.2,"average"
65,7.2,0.24,0.27,1.4,0.038,31,122,0.9927,3.15,0.46,10.3,"average"
66,6.2,0.35,0.03,1.2,0.064,29,120,0.9934,3.22,0.54,9.1,"bad"
67,6.4,0.26,0.24,6.4,0.04,27,124,0.9903,3.22,0.49,12.6,"good"
68,6.7,0.25,0.13,1.2,0.041,81,174,0.992,3.14,0.42,9.8,"bad"
69,6.7,0.23,0.31,2.1,0.046,30,96,0.9926,3.33,0.64,10.7,"good"
70,7.4,0.24,0.29,10.1,0.05,21,105,0.9962,3.13,0.35,9.5,"bad"
71,6.2,0.27,0.43,7.8,0.056,48,244,0.9956,3.1,0.51,9,"average"
72,6.8,0.3,0.23,4.6,0.061,50.5,238.5,0.9958,3.32,0.6,9.5,"bad"
73,6,0.27,0.28,4.8,0.063,31,201,0.9964,3.69,0.71,10,"bad"
74,8.6,0.23,0.46,1,0.054,9,72,0.9941,2.95,0.49,9.1,"average"
75,6.7,0.23,0.31,2.1,0.046,30,96,0.9926,3.33,0.64,10.7,"good"
76,7.4,0.24,0.29,10.1,0.05,21,105,0.9962,3.13,0.35,9.5,"bad"
77,7.1,0.18,0.36,1.4,0.043,31,87,0.9898,3.26,0.37,12.7,"good"
78,7,0.32,0.34,1.3,0.042,20,69,0.9912,3.31,0.65,12,"good"
79,7.4,0.18,0.3,8.8,0.064,26,103,0.9961,2.94,0.56,9.3,"bad"
80,6.7,0.54,0.28,5.4,0.06,21,105,0.9949,3.27,0.37,9,"bad"
81,6.8,0.22,0.31,1.4,0.053,34,114,0.9929,3.39,0.77,10.6,"average"
82,7.1,0.2,0.34,16,0.05,51,166,0.9985,3.21,0.6,9.2,"average"
83,7.1,0.34,0.2,6.1,0.063,47,164,0.9946,3.17,0.42,10,"bad"
84,7.3,0.22,0.3,8.2,0.047,42,207,0.9966,3.33,0.46,9.5,"average"
85,7.1,0.43,0.61,11.8,0.045,54,155,0.9974,3.11,0.45,8.7,"bad"
86,7.1,0.44,0.62,11.8,0.044,52,152,0.9975,3.12,0.46,8.7,"average"
87,7.2,0.39,0.63,11,0.044,55,156,0.9974,3.09,0.44,8.7,"average"
88,6.8,0.25,0.31,13.3,0.05,69,202,0.9972,3.22,0.48,9.7,"average"
89,7.1,0.43,0.61,11.8,0.045,54,155,0.9974,3.11,0.45,8.7,"bad"
90,7.1,0.44,0.62,11.8,0.044,52,152,0.9975,3.12,0.46,8.7,"average"
91,7.2,0.39,0.63,11,0.044,55,156,0.9974,3.09,0.44,8.7,"average"
92,6.1,0.27,0.43,7.5,0.049,65,243,0.9957,3.12,0.47,9,"bad"
93,6.9,0.24,0.33,1.7,0.035,47,136,0.99,3.26,0.4,12.6,"good"
94,6.9,0.21,0.33,1.8,0.034,48,136,0.9899,3.25,0.41,12.6,"good"
95,7.5,0.17,0.32,1.7,0.04,51,148,0.9916,3.21,0.44,11.5,"good"
96,7.1,0.26,0.29,12.4,0.044,62,240,0.9969,3.04,0.42,9.2,"average"
97,6,0.34,0.66,15.9,0.046,26,164,0.9979,3.14,0.5,8.8,"average"
98,8.6,0.265,0.36,1.2,0.034,15,80,0.9913,2.95,0.36,11.4,"good"
99,9.8,0.36,0.46,10.5,0.038,4,83,0.9956,2.89,0.3,10.1,"bad"
100,6,0.34,0.66,15.9,0.046,26,164,0.9979,3.14,0.5,8.8,"average"
101,7.4,0.25,0.37,13.5,0.06,52,192,0.9975,3,0.44,9.1,"bad"
102,7.1,0.12,0.32,9.6,0.054,64,162,0.9962,3.4,0.41,9.4,"bad"
103,6,0.21,0.24,12.1,0.05,55,164,0.997,3.34,0.39,9.4,"bad"
104,7.5,0.305,0.4,18.9,0.059,44,170,1,2.99,0.46,9,"bad"
105,7.4,0.25,0.37,13.5,0.06,52,192,0.9975,3,0.44,9.1,"bad"
106,7.3,0.13,0.32,14.4,0.051,34,109,0.9974,3.2,0.35,9.2,"average"
107,7.1,0.12,0.32,9.6,0.054,64,162,0.9962,3.4,0.41,9.4,"bad"
108,7.1,0.23,0.35,16.5,0.04,60,171,0.999,3.16,0.59,9.1,"average"
109,7.1,0.23,0.35,16.5,0.04,60,171,0.999,3.16,0.59,9.1,"average"
110,6.9,0.33,0.28,1.3,0.051,37,187,0.9927,3.27,0.6,10.3,"bad"
111,6.5,0.17,0.54,8.5,0.082,64,163,0.9959,2.89,0.39,8.8,"average"
112,7.2,0.27,0.46,18.75,0.052,45,255,1,3.04,0.52,8.9,"bad"
113,7.2,0.31,0.5,13.3,0.056,68,195,0.9982,3.01,0.47,9.2,"bad"
114,6.7,0.41,0.34,9.2,0.049,29,150,0.9968,3.22,0.51,9.1,"bad"
115,6.7,0.41,0.34,9.2,0.049,29,150,0.9968,3.22,0.51,9.1,"bad"
116,5.5,0.485,0,1.5,0.065,8,103,0.994,3.63,0.4,9.7,"bad"
117,6,0.31,0.24,3.3,0.041,25,143,0.9914,3.31,0.44,11.3,"average"
118,7,0.14,0.4,1.7,0.035,16,85,0.9911,3.19,0.42,11.8,"average"
119,7.2,0.31,0.5,13.3,0.056,68,195,0.9982,3.01,0.47,9.2,"bad"
120,7.3,0.32,0.48,13.3,0.06,57,196,0.9982,3.04,0.5,9.2,"bad"
121,5.9,0.36,0.04,5.7,0.046,21,87,0.9934,3.22,0.51,10.2,"bad"
122,7.8,0.24,0.32,12.2,0.054,42,138,0.9984,3.01,0.54,8.8,"bad"
123,7.4,0.16,0.31,6.85,0.059,31,131,0.9952,3.29,0.34,9.7,"bad"
124,6.9,0.19,0.28,5,0.058,14,146,0.9952,3.29,0.36,9.1,"average"
125,6.4,0.13,0.47,1.6,0.092,40,158,0.9928,3.21,0.36,9.8,"average"
126,6.7,0.19,0.36,1.1,0.026,63,143,0.9912,3.27,0.48,11,"average"
127,7.4,0.39,0.23,7,0.033,29,126,0.994,3.14,0.42,10.5,"bad"
128,6.5,0.24,0.32,7.6,0.038,48,203,0.9958,3.45,0.54,9.7,"good"
129,6.1,0.3,0.56,2.8,0.044,47,179,0.9924,3.3,0.57,10.9,"good"
130,6.1,0.3,0.56,2.7,0.046,46,184,0.9924,3.31,0.57,10.9,"average"
131,5.7,0.26,0.25,10.4,0.02,7,57,0.994,3.39,0.37,10.6,"bad"
132,6.5,0.24,0.32,7.6,0.038,48,203,0.9958,3.45,0.54,9.7,"good"
133,6.5,0.425,0.4,13.1,0.038,59,241,0.9979,3.23,0.57,9,"bad"
134,6.6,0.24,0.27,15.8,0.035,46,188,0.9982,3.24,0.51,9.2,"bad"
135,6.8,0.27,0.22,8.1,0.034,55,203,0.9961,3.19,0.52,8.9,"bad"
136,6.7,0.27,0.31,15.7,0.036,44,179,0.9979,3.26,0.56,9.6,"bad"
137,8.2,0.23,0.4,1.2,0.027,36,121,0.992,3.12,0.38,10.7,"average"
138,7.1,0.37,0.67,10.5,0.045,49,155,0.9975,3.16,0.44,8.7,"bad"
139,6.8,0.19,0.36,1.9,0.035,30,96,0.9917,3.15,0.54,10.8,"good"
140,8.1,0.28,0.39,1.9,0.029,18,79,0.9923,3.23,0.52,11.8,"average"
141,6.3,0.31,0.34,2.2,0.045,20,77,0.9927,3.3,0.43,10.2,"bad"
142,7.1,0.37,0.67,10.5,0.045,49,155,0.9975,3.16,0.44,8.7,"bad"
143,7.9,0.21,0.4,1.2,0.039,38,107,0.992,3.21,0.54,10.8,"average"
144,8.5,0.21,0.41,4.3,0.036,24,99,0.9947,3.18,0.53,9.7,"average"
145,8.1,0.2,0.4,2,0.037,19,87,0.9921,3.12,0.54,11.2,"average"
146,6.3,0.255,0.37,1.1,0.04,37,114,0.9905,3,0.39,10.9,"average"
147,5.6,0.16,0.27,1.4,0.044,53,168,0.9918,3.28,0.37,10.1,"average"
148,6.4,0.595,0.14,5.2,0.058,15,97,0.9951,3.38,0.36,9,"bad"
149,6.3,0.34,0.33,4.6,0.034,19,80,0.9917,3.38,0.58,12,"good"
150,6.9,0.25,0.3,4.1,0.054,23,116,0.994,2.99,0.38,9.4,"average"
151,7.9,0.22,0.38,8,0.043,46,152,0.9934,3.12,0.32,11.5,"good"
152,7.6,0.18,0.46,10.2,0.055,58,135,0.9968,3.14,0.43,9.9,"average"
153,6.9,0.25,0.3,4.1,0.054,23,116,0.994,2.99,0.38,9.4,"average"
154,7.2,0.18,0.41,1.2,0.048,41,97,0.9919,3.14,0.45,10.4,"bad"
155,8.2,0.23,0.4,7.5,0.049,12,76,0.9966,3.06,0.84,9.7,"average"
156,7.4,0.24,0.42,14,0.066,48,198,0.9979,2.89,0.42,8.9,"average"
157,7.4,0.24,0.42,14,0.066,48,198,0.9979,2.89,0.42,8.9,"average"
158,6.1,0.32,0.24,1.5,0.036,38,124,0.9898,3.29,0.42,12.4,"good"
159,5.2,0.44,0.04,1.4,0.036,43,119,0.9894,3.36,0.33,12.1,"good"
160,5.2,0.44,0.04,1.4,0.036,43,119,0.9894,3.36,0.33,12.1,"good"
161,6.1,0.32,0.24,1.5,0.036,38,124,0.9898,3.29,0.42,12.4,"good"
162,6.4,0.22,0.56,14.5,0.055,27,159,0.998,2.98,0.4,9.1,"bad"
163,6.3,0.36,0.3,4.8,0.049,14,85,0.9932,3.28,0.39,10.6,"bad"
164,7.4,0.24,0.42,14,0.066,48,198,0.9979,2.89,0.42,8.9,"average"
165,6.7,0.24,0.35,13.1,0.05,64,205,0.997,3.15,0.5,9.5,"bad"
166,7,0.23,0.36,13,0.051,72,177,0.9972,3.16,0.49,9.8,"bad"
167,8.4,0.27,0.46,8.7,0.048,39,197,0.9974,3.14,0.59,9.6,"average"
168,6.7,0.46,0.18,2.4,0.034,25,98,0.9896,3.08,0.44,12.6,"good"
169,7.5,0.29,0.31,8.95,0.055,20,151,0.9968,3.08,0.54,9.3,"bad"
170,9.8,0.42,0.48,9.85,0.034,5,110,0.9958,2.87,0.29,10,"bad"
171,7.1,0.3,0.46,1.5,0.066,29,133,0.9906,3.12,0.54,12.7,"average"
172,7.9,0.19,0.45,1.5,0.045,17,96,0.9917,3.13,0.39,11,"average"
173,7.6,0.48,0.37,0.8,0.037,4,100,0.9902,3.03,0.39,11.4,"bad"
174,6.3,0.22,0.43,4.55,0.038,31,130,0.9918,3.35,0.33,11.5,"good"
175,7.5,0.27,0.31,17.7,0.051,33,173,0.999,3.09,0.64,10.2,"bad"
176,6.9,0.23,0.4,7.5,0.04,50,151,0.9927,3.11,0.27,11.4,"average"
177,7.2,0.32,0.47,5.1,0.044,19,65,0.991,3.03,0.41,12.6,"bad"
178,5.9,0.23,0.3,12.9,0.054,57,170,0.9972,3.28,0.39,9.4,"bad"
179,6,0.67,0.07,1.2,0.06,9,108,0.9931,3.11,0.35,8.7,"bad"
180,6.4,0.25,0.32,5.5,0.049,41,176,0.995,3.19,0.68,9.2,"average"
181,6.4,0.33,0.31,5.5,0.048,42,173,0.9951,3.19,0.66,9.3,"average"
182,7.1,0.34,0.15,1.2,0.053,61,183,0.9936,3.09,0.43,9.2,"bad"
183,6.8,0.28,0.4,22,0.048,48,167,1.001,2.93,0.5,8.7,"bad"
184,6.9,0.27,0.4,14,0.05,64,227,0.9979,3.18,0.58,9.6,"average"
185,6.8,0.26,0.56,11.9,0.043,64,226,0.997,3.02,0.63,9.3,"bad"
186,6.8,0.29,0.56,11.9,0.043,66,230,0.9972,3.02,0.63,9.3,"bad"
187,6.7,0.24,0.41,9.4,0.04,49,166,0.9954,3.12,0.61,9.9,"average"
188,5.9,0.3,0.23,4.2,0.038,42,119,0.9924,3.15,0.5,11,"bad"
189,6.8,0.53,0.35,3.8,0.034,26,109,0.9906,3.26,0.57,12.7,"good"
190,6.5,0.28,0.28,8.5,0.047,54,210,0.9962,3.09,0.54,8.9,"bad"
191,6.6,0.28,0.28,8.5,0.052,55,211,0.9962,3.09,0.55,8.9,"average"
192,6.8,0.28,0.4,22,0.048,48,167,1.001,2.93,0.5,8.7,"bad"
193,6.8,0.28,0.36,8,0.045,28,123,0.9928,3.02,0.37,11.4,"average"
194,6.6,0.15,0.34,5.1,0.055,34,125,0.9942,3.36,0.42,9.6,"bad"
195,6.4,0.29,0.44,3.6,0.2,75,181,0.9942,3.02,0.41,9.1,"bad"
196,6.4,0.3,0.45,3.5,0.197,76,180,0.9942,3.02,0.39,9.1,"average"
197,6.4,0.29,0.44,3.6,0.197,75,183,0.9942,3.01,0.38,9.1,"bad"
198,6.8,0.26,0.24,7.8,0.052,54,214,0.9961,3.13,0.47,8.9,"bad"
199,7.1,0.32,0.24,13.1,0.05,52,204,0.998,3.1,0.49,8.8,"bad"
200,6.8,0.26,0.24,7.8,0.052,54,214,0.9961,3.13,0.47,8.9,"bad"
201,6.8,0.27,0.26,16.1,0.049,55,196,0.9984,3.15,0.5,9.3,"bad"
202,7.1,0.32,0.24,13.1,0.05,52,204,0.998,3.1,0.49,8.8,"bad"
203,6.9,0.54,0.32,13.2,0.05,53,236,0.9973,3.2,0.5,9.6,"bad"
204,6.8,0.26,0.34,13.9,0.034,39,134,0.9949,3.33,0.53,12,"average"
205,5.8,0.28,0.35,2.3,0.053,36,114,0.9924,3.28,0.5,10.2,"bad"
206,6.4,0.21,0.5,11.6,0.042,45,153,0.9972,3.15,0.43,8.8,"bad"
207,7,0.16,0.32,8.3,0.045,38,126,0.9958,3.21,0.34,9.2,"bad"
208,10.2,0.44,0.88,6.2,0.049,20,124,0.9968,2.99,0.51,9.9,"bad"
209,6.8,0.57,0.29,2.2,0.04,15,77,0.9938,3.32,0.74,10.2,"bad"
210,6.1,0.4,0.31,0.9,0.048,23,170,0.993,3.22,0.77,9.5,"average"
211,5.6,0.245,0.25,9.7,0.032,12,68,0.994,3.31,0.34,10.5,"bad"
212,6.8,0.18,0.38,1.4,0.038,35,111,0.9918,3.32,0.59,11.2,"good"
213,7,0.16,0.32,8.3,0.045,38,126,0.9958,3.21,0.34,9.2,"bad"
214,6.7,0.13,0.29,5.3,0.051,31,122,0.9944,3.44,0.37,9.7,"average"
215,6.2,0.25,0.25,1.4,0.03,35,105,0.9912,3.3,0.44,11.1,"good"
216,5.8,0.26,0.24,9.2,0.044,55,152,0.9961,3.31,0.38,9.4,"bad"
217,7.5,0.27,0.36,7,0.036,45,164,0.9939,3.03,0.33,11,"bad"
218,5.8,0.26,0.24,9.2,0.044,55,152,0.9961,3.31,0.38,9.4,"bad"
219,5.7,0.28,0.24,17.5,0.044,60,167,0.9989,3.31,0.44,9.4,"bad"
220,7.5,0.23,0.36,7,0.036,43,161,0.9938,3.04,0.32,11,"bad"
221,7.5,0.27,0.36,7,0.036,45,164,0.9939,3.03,0.33,11,"bad"
222,7.2,0.685,0.21,9.5,0.07,33,172,0.9971,3,0.55,9.1,"average"
223,6.2,0.25,0.25,1.4,0.03,35,105,0.9912,3.3,0.44,11.1,"good"
224,6.5,0.19,0.3,0.8,0.043,33,144,0.9936,3.42,0.39,9.1,"average"
225,6.3,0.495,0.22,1.8,0.046,31,140,0.9929,3.39,0.54,10.4,"average"
226,7.1,0.24,0.41,17.8,0.046,39,145,0.9998,3.32,0.39,8.7,"bad"
227,6.4,0.17,0.32,2.4,0.048,41,200,0.9938,3.5,0.5,9.7,"average"
228,7.1,0.25,0.32,10.3,0.041,66,272,0.9969,3.17,0.52,9.1,"average"
229,6.4,0.17,0.32,2.4,0.048,41,200,0.9938,3.5,0.5,9.7,"average"
230,7.1,0.24,0.41,17.8,0.046,39,145,0.9998,3.32,0.39,8.7,"bad"
231,6.8,0.64,0.08,9.7,0.062,26,142,0.9972,3.37,0.46,8.9,"bad"
232,8.3,0.28,0.4,7.8,0.041,38,194,0.9976,3.34,0.51,9.6,"average"
233,8.2,0.27,0.39,7.8,0.039,49,208,0.9976,3.31,0.51,9.5,"average"
234,7.2,0.23,0.38,14.3,0.058,55,194,0.9979,3.09,0.44,9,"average"
235,7.2,0.23,0.38,14.3,0.058,55,194,0.9979,3.09,0.44,9,"average"
236,7.2,0.23,0.38,14.3,0.058,55,194,0.9979,3.09,0.44,9,"average"
237,7.2,0.23,0.38,14.3,0.058,55,194,0.9979,3.09,0.44,9,"average"
238,6.8,0.52,0.32,13.2,0.044,54,221,0.9972,3.27,0.5,9.6,"average"
239,7,0.26,0.59,1.4,0.037,40,120,0.9918,3.34,0.41,11.1,"good"
240,6.2,0.25,0.21,15.55,0.039,28,159,0.9982,3.48,0.64,9.6,"average"
241,7.3,0.32,0.23,13.7,0.05,49,197,0.9985,3.2,0.46,8.7,"bad"
242,7.7,0.31,0.26,7.8,0.031,23,90,0.9944,3.13,0.5,10.4,"bad"
243,7.1,0.21,0.37,2.4,0.026,23,100,0.9903,3.15,0.38,11.4,"good"
244,6.8,0.24,0.34,2.7,0.047,64.5,218.5,0.9934,3.3,0.58,9.7,"average"
245,6.9,0.4,0.56,11.2,0.043,40,142,0.9975,3.14,0.46,8.7,"bad"
246,6.1,0.18,0.36,2,0.038,20,249.5,0.9923,3.37,0.79,11.3,"average"
247,6.8,0.21,0.27,2.1,0.03,26,139,0.99,3.16,0.61,12.6,"good"
248,5.8,0.2,0.27,1.4,0.031,12,77,0.9905,3.25,0.36,10.9,"good"
249,5.6,0.19,0.26,1.4,0.03,12,76,0.9905,3.25,0.37,10.9,"good"
250,6.1,0.41,0.14,10.4,0.037,18,119,0.996,3.38,0.45,10,"bad"
251,5.9,0.21,0.28,4.6,0.053,40,199,0.9964,3.72,0.7,10,"bad"
252,8.5,0.26,0.21,16.2,0.074,41,197,0.998,3.02,0.5,9.8,"bad"
253,6.9,0.4,0.56,11.2,0.043,40,142,0.9975,3.14,0.46,8.7,"bad"
254,5.8,0.24,0.44,3.5,0.029,5,109,0.9913,3.53,0.43,11.7,"bad"
255,5.8,0.24,0.39,1.5,0.054,37,158,0.9932,3.21,0.52,9.3,"average"
256,6.7,0.26,0.39,1.1,0.04,45,147,0.9935,3.32,0.58,9.6,"good"
257,6.3,0.35,0.3,5.7,0.035,8,97,0.9927,3.27,0.41,11,"good"
258,6.3,0.35,0.3,5.7,0.035,8,97,0.9927,3.27,0.41,11,"good"
259,6.4,0.23,0.39,1.8,0.032,23,118,0.9912,3.32,0.5,11.8,"average"
260,5.8,0.36,0.38,0.9,0.037,3,75,0.9904,3.28,0.34,11.4,"bad"
261,6.9,0.115,0.35,5.4,0.048,36,108,0.9939,3.32,0.42,10.2,"average"
262,6.9,0.29,0.4,19.45,0.043,36,156,0.9996,2.93,0.47,8.9,"bad"
263,6.9,0.28,0.4,8.2,0.036,15,95,0.9944,3.17,0.33,10.2,"bad"
264,7.2,0.29,0.4,13.6,0.045,66,231,0.9977,3.08,0.59,9.6,"average"
265,6.2,0.24,0.35,1.2,0.038,22,167,0.9912,3.1,0.48,10.6,"average"
266,6.9,0.29,0.4,19.45,0.043,36,156,0.9996,2.93,0.47,8.9,"bad"
267,6.9,0.32,0.26,8.3,0.053,32,180,0.9965,3.25,0.51,9.2,"average"
268,5.3,0.58,0.07,6.9,0.043,34,149,0.9944,3.34,0.57,9.7,"bad"
269,5.3,0.585,0.07,7.1,0.044,34,145,0.9945,3.34,0.57,9.7,"average"
270,5.4,0.59,0.07,7,0.045,36,147,0.9944,3.34,0.57,9.7,"average"
271,6.9,0.32,0.26,8.3,0.053,32,180,0.9965,3.25,0.51,9.2,"average"
272,5.2,0.6,0.07,7,0.044,33,147,0.9944,3.33,0.58,9.7,"bad"
273,5.8,0.25,0.26,13.1,0.051,44,148,0.9972,3.29,0.38,9.3,"bad"
274,6.6,0.58,0.3,5.1,0.057,30,123,0.9949,3.24,0.38,9,"bad"
275,7,0.29,0.54,10.7,0.046,59,234,0.9966,3.05,0.61,9.5,"bad"
276,6.6,0.19,0.41,8.9,0.046,51,169,0.9954,3.14,0.57,9.8,"average"
277,6.7,0.2,0.41,9.1,0.044,50,166,0.9954,3.14,0.58,9.8,"average"
278,7.7,0.26,0.4,1.1,0.042,9,60,0.9915,2.89,0.5,10.6,"bad"
279,6.8,0.32,0.34,1.2,0.044,14,67,0.9919,3.05,0.47,10.6,"bad"
280,7,0.3,0.49,4.7,0.036,17,105,0.9916,3.26,0.68,12.4,"good"
281,7,0.24,0.36,2.8,0.034,22,112,0.99,3.19,0.38,12.6,"good"
282,6.1,0.31,0.58,5,0.039,36,114,0.9909,3.3,0.6,12.3,"good"
283,6.8,0.44,0.37,5.1,0.047,46,201,0.9938,3.08,0.65,10.5,"bad"
284,6.7,0.34,0.3,15.6,0.054,51,196,0.9982,3.19,0.49,9.3,"bad"
285,7.1,0.35,0.24,15.4,0.055,46,198,0.9988,3.12,0.49,8.8,"bad"
286,7.3,0.32,0.25,7.2,0.056,47,180,0.9961,3.08,0.47,8.8,"bad"
287,6.5,0.28,0.33,15.7,0.053,51,190,0.9978,3.22,0.51,9.7,"average"
288,7.2,0.23,0.39,14.2,0.058,49,192,0.9979,2.98,0.48,9,"good"
289,7.2,0.23,0.39,14.2,0.058,49,192,0.9979,2.98,0.48,9,"good"
290,7.2,0.23,0.39,14.2,0.058,49,192,0.9979,2.98,0.48,9,"good"
291,7.2,0.23,0.39,14.2,0.058,49,192,0.9979,2.98,0.48,9,"good"
292,5.9,0.15,0.31,5.8,0.041,53,155,0.9945,3.52,0.46,10.5,"average"
293,7.4,0.28,0.42,19.8,0.066,53,195,1,2.96,0.44,9.1,"bad"
294,6.2,0.28,0.22,7.3,0.041,26,157,0.9957,3.44,0.64,9.8,"good"
295,9.1,0.59,0.38,1.6,0.066,34,182,0.9968,3.23,0.38,8.5,"bad"
296,6.3,0.33,0.27,1.2,0.046,34,175,0.9934,3.37,0.54,9.4,"average"
297,8.3,0.39,0.7,10.6,0.045,33,169,0.9976,3.09,0.57,9.4,"bad"
